Email Text,Email Type
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We detected unusual activity in your account. Secure it by clicking here: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
"Dear customer, your recent order has been shipped and is on its way. Track your package here: http://legitimatetracking.com",Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Your subscription has been successfully renewed. Enjoy uninterrupted service.,Legitimate
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
"Your account has been successfully updated. If this wasn't you, please contact our support.",Legitimate
"Dear customer, your account has been compromised. Please click the link below to reset your password immediately: http://phishingsite.com",Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
Your subscription is expiring soon. Renew now by clicking on the following link: http://phishingsite.com,Phishing
We appreciate your feedback! Thank you for helping us improve our services.,Legitimate
Your payment details are outdated. Update them immediately by visiting: http://phishingsite.com,Phishing
Your package could not be delivered. Please provide your details by clicking: http://phishingsite.com,Phishing
"You have won a lottery of $1,000,000! Claim your prize now by clicking here: http://phishingsite.com",Phishing
Your payment has been successfully processed. Thank you for your purchase!,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
Thank you for your inquiry. We will get back to you within 24 hours.,Legitimate
